Collection Time,Status,CPU (%),Memory (%),Disk Used (%),Reason
May 6 2022 11:59:43 PM PDT,Up,5.88,75.59,72.46,-
May 6 2022 11:58:43 PM PDT,Up,6.38,75.56,72.46,-
May 6 2022 11:57:43 PM PDT,Up,6.13,75.52,72.46,-
May 6 2022 11:56:43 PM PDT,Up,6.75,75.62,72.46,-
May 6 2022 11:55:43 PM PDT,Up,6.75,75.55,72.46,-
May 6 2022 11:54:43 PM PDT,Up,6.5,75.8,72.46,-
May 6 2022 11:53:44 PM PDT,Up,6.63,75.81,72.46,-
May 6 2022 11:52:43 PM PDT,Up,6.25,75.68,72.46,-
May 6 2022 11:51:43 PM PDT,Up,6.75,75.61,72.46,-
May 6 2022 11:50:43 PM PDT,Up,6.13,75.52,72.45,-
May 6 2022 11:49:43 PM PDT,Up,5.88,75.49,72.45,-
May 6 2022 11:48:43 PM PDT,Up,6.38,75.43,72.46,-
May 6 2022 11:47:43 PM PDT,Up,6,75.38,72.46,-
May 6 2022 11:46:43 PM PDT,Up,6.5,75.41,72.46,-
May 6 2022 11:45:43 PM PDT,Up,6.13,75.36,72.46,-
May 6 2022 11:44:45 PM PDT,Up,6.13,75.2,72.45,-
May 6 2022 11:43:43 PM PDT,Up,6.5,75.17,72.45,-
May 6 2022 11:42:43 PM PDT,Up,6.38,75.15,72.45,-
May 6 2022 11:41:43 PM PDT,Up,7.25,75.09,72.45,-
May 6 2022 11:40:43 PM PDT,Up,6.13,75.13,72.45,-
May 6 2022 11:39:43 PM PDT,Up,6,75,72.45,-
May 6 2022 11:38:43 PM PDT,Up,6.5,75,72.45,-
May 6 2022 11:37:43 PM PDT,Up,6.25,74.92,72.44,-
May 6 2022 11:36:43 PM PDT,Up,6.63,74.83,72.44,-
May 6 2022 11:35:43 PM PDT,Up,6.13,74.67,72.44,-
May 6 2022 11:34:43 PM PDT,Up,6.13,74.64,72.44,-
May 6 2022 11:33:43 PM PDT,Up,9.25,74.66,72.44,-
May 6 2022 11:32:43 PM PDT,Up,10,74.59,72.44,-
May 6 2022 11:31:43 PM PDT,Up,6.5,74.62,72.44,-
May 6 2022 11:30:43 PM PDT,Up,5,74.67,72.43,-
May 6 2022 11:29:43 PM PDT,Up,5.63,74.64,72.43,-
May 6 2022 11:28:43 PM PDT,Up,6.63,74.46,72.44,-
May 6 2022 11:27:45 PM PDT,Up,6,74.38,72.44,-
May 6 2022 11:26:43 PM PDT,Up,6.5,74.46,72.44,-
May 6 2022 11:25:43 PM PDT,Up,6.25,74.35,72.44,-
May 6 2022 11:24:43 PM PDT,Up,6.5,74.38,72.44,-
May 6 2022 11:23:43 PM PDT,Up,6.75,74.33,72.43,-
May 6 2022 11:22:43 PM PDT,Up,6.38,74.28,72.43,-
May 6 2022 11:21:43 PM PDT,Up,6.75,74.26,72.43,-
May 6 2022 11:20:43 PM PDT,Up,6.25,74.08,72.43,-
May 6 2022 11:19:43 PM PDT,Up,5.88,74.17,72.43,-
May 6 2022 11:18:43 PM PDT,Up,6.63,73.97,72.43,-
May 6 2022 11:17:43 PM PDT,Up,6.38,73.92,72.43,-
May 6 2022 11:16:43 PM PDT,Up,6.75,73.87,72.43,-
May 6 2022 11:15:43 PM PDT,Up,7.5,73.85,72.42,-
May 6 2022 11:14:43 PM PDT,Up,6.5,73.85,72.42,-
May 6 2022 11:13:43 PM PDT,Up,6.88,73.92,72.42,-
May 6 2022 11:12:43 PM PDT,Up,7.13,73.82,72.42,-
May 6 2022 11:11:43 PM PDT,Up,7.63,73.73,72.42,-
May 6 2022 11:10:43 PM PDT,Up,7.13,73.64,72.42,-
May 6 2022 11:09:43 PM PDT,Up,6.13,73.65,72.43,-
May 6 2022 11:08:43 PM PDT,Up,6.38,73.64,72.43,-
May 6 2022 11:07:43 PM PDT,Up,6.5,73.71,72.42,-
May 6 2022 11:06:43 PM PDT,Up,6.75,73.77,72.42,-
May 6 2022 11:05:43 PM PDT,Up,7,73.6,72.42,-
May 6 2022 11:04:43 PM PDT,Up,6.25,73.46,72.42,-
May 6 2022 11:03:43 PM PDT,Up,6.88,73.33,72.42,-
May 6 2022 11:02:43 PM PDT,Up,6.5,73.28,72.42,-
May 6 2022 11:01:43 PM PDT,Up,7,73.34,72.42,-
May 6 2022 11:00:43 PM PDT,Up,6.25,73.24,72.41,-
May 6 2022 10:59:43 PM PDT,Up,6.13,73.32,72.41,-
May 6 2022 10:58:43 PM PDT,Up,6.63,73.22,72.41,-
May 6 2022 10:57:43 PM PDT,Up,6.88,73.24,72.41,-
May 6 2022 10:56:43 PM PDT,Up,7.13,73.24,72.41,-
May 6 2022 10:55:45 PM PDT,Up,6.25,73.14,72.41,-
May 6 2022 10:54:43 PM PDT,Up,6,73.13,72.41,-
May 6 2022 10:53:43 PM PDT,Up,6.88,73.09,72.4,-
May 6 2022 10:52:43 PM PDT,Up,6.63,73.07,72.4,-
May 6 2022 10:51:43 PM PDT,Up,6.63,72.99,72.4,-
May 6 2022 10:50:43 PM PDT,Up,6.88,72.82,72.4,-
May 6 2022 10:49:43 PM PDT,Up,6.25,72.7,72.41,-
May 6 2022 10:48:43 PM PDT,Up,7.25,72.32,72.41,-
May 6 2022 10:47:43 PM PDT,Trouble,7.63,84.96,72.4,Memory Utilization exceeds 80 %
May 6 2022 10:46:43 PM PDT,Trouble,5.88,84.97,72.4,Memory Utilization exceeds 80 %
May 6 2022 10:45:43 PM PDT,Trouble,7.63,84.83,72.4,Memory Utilization exceeds 80 %
May 6 2022 10:44:43 PM PDT,Trouble,6.25,84.75,72.4,Memory Utilization exceeds 80 %
May 6 2022 10:43:43 PM PDT,Trouble,8.5,84.77,72.4,Memory Utilization exceeds 80 %
May 6 2022 10:42:43 PM PDT,Trouble,9.5,84.74,72.4,Memory Utilization exceeds 80 %
May 6 2022 10:41:43 PM PDT,Trouble,9.38,84.76,72.4,Memory Utilization exceeds 80 %
May 6 2022 10:40:43 PM PDT,Trouble,8.25,84.78,72.4,Memory Utilization exceeds 80 %
May 6 2022 10:39:45 PM PDT,Trouble,7.88,84.7,72.39,Memory Utilization exceeds 80 %
May 6 2022 10:38:43 PM PDT,Trouble,8.63,84.54,72.39,Memory Utilization exceeds 80 %
May 6 2022 10:37:43 PM PDT,Trouble,7.25,84.51,72.39,Memory Utilization exceeds 80 %
May 6 2022 10:36:43 PM PDT,Trouble,7.38,84.47,72.39,Memory Utilization exceeds 80 %
May 6 2022 10:35:43 PM PDT,Trouble,8.5,84.42,72.39,Memory Utilization exceeds 80 %
May 6 2022 10:34:43 PM PDT,Trouble,8.75,84.58,72.39,Memory Utilization exceeds 80 %
May 6 2022 10:33:44 PM PDT,Trouble,11.63,84.54,72.39,Memory Utilization exceeds 80 %
May 6 2022 10:32:43 PM PDT,Trouble,10.88,84.55,72.39,Memory Utilization exceeds 80 %
May 6 2022 10:31:43 PM PDT,Trouble,10.63,84.21,72.38,Memory Utilization exceeds 80 %
May 6 2022 10:30:43 PM PDT,Trouble,9.88,84.5,72.38,Memory Utilization exceeds 80 %
May 6 2022 10:29:43 PM PDT,Trouble,7.13,84.43,72.38,Memory Utilization exceeds 80 %
May 6 2022 10:28:43 PM PDT,Trouble,7.88,84.07,72.39,Memory Utilization exceeds 80 %
May 6 2022 10:27:43 PM PDT,Trouble,7.63,84.11,72.39,Memory Utilization exceeds 80 %
May 6 2022 10:26:43 PM PDT,Trouble,9.13,84.06,72.39,Memory Utilization exceeds 80 %
May 6 2022 10:25:43 PM PDT,Trouble,9.5,84.18,72.39,Memory Utilization exceeds 80 %
May 6 2022 10:24:43 PM PDT,Trouble,7.5,84.18,72.39,Memory Utilization exceeds 80 %
May 6 2022 10:23:45 PM PDT,Trouble,10,84.08,72.38,Memory Utilization exceeds 80 %
May 6 2022 10:22:43 PM PDT,Trouble,9.88,84.05,72.38,Memory Utilization exceeds 80 %
May 6 2022 10:21:43 PM PDT,Trouble,11.5,84.24,72.38,Memory Utilization exceeds 80 %
May 6 2022 10:20:43 PM PDT,Trouble,10.25,83.96,72.37,Memory Utilization exceeds 80 %
May 6 2022 10:19:43 PM PDT,Trouble,9.38,84.25,72.37,Memory Utilization exceeds 80 %
May 6 2022 10:18:43 PM PDT,Trouble,8.63,84.15,72.37,Memory Utilization exceeds 80 %
May 6 2022 10:17:43 PM PDT,Trouble,7.75,83.8,72.37,Memory Utilization exceeds 80 %
May 6 2022 10:16:43 PM PDT,Trouble,8.5,83.65,72.37,Memory Utilization exceeds 80 %
May 6 2022 10:15:43 PM PDT,Trouble,10.13,83.94,72.36,Memory Utilization exceeds 80 %
