Date,MemberRequests
2022-05-06 00:00:00.000,2495
2022-05-06 00:15:00.000,2697
2022-05-06 00:30:00.000,2668
2022-05-06 00:45:00.000,2477
2022-05-06 01:00:00.000,2589
2022-05-06 01:15:00.000,2629
2022-05-06 01:30:00.000,2468
2022-05-06 01:45:00.000,2693
2022-05-06 02:00:00.000,2538
2022-05-06 02:15:00.000,2742
2022-05-06 02:30:00.000,2535
2022-05-06 02:45:00.000,2720
2022-05-06 03:00:00.000,2691
2022-05-06 03:15:00.000,2524
2022-05-06 03:30:00.000,2722
2022-05-06 03:45:00.000,2714
2022-05-06 04:00:00.000,2615
2022-05-06 04:15:00.000,2733
2022-05-06 04:30:00.000,2709
2022-05-06 04:45:00.000,2537
2022-05-06 05:00:00.000,2733
2022-05-06 05:15:00.000,2716
2022-05-06 05:30:00.000,2526
2022-05-06 05:45:00.000,2695
2022-05-06 06:00:00.000,2527
2022-05-06 06:15:00.000,2698
2022-05-06 06:30:00.000,2686
2022-05-06 06:45:00.000,2480
2022-05-06 07:00:00.000,2672
2022-05-06 07:15:00.000,2685
2022-05-06 07:30:00.000,2514
2022-05-06 07:45:00.000,2694
2022-05-06 08:00:00.000,2682
2022-05-06 08:15:00.000,2507
2022-05-06 08:30:00.000,2717
2022-05-06 08:45:00.000,2698
2022-05-06 09:00:00.000,2479
2022-05-06 09:15:00.000,2679
2022-05-06 09:30:00.000,2677
2022-05-06 09:45:00.000,2457
2022-05-06 10:00:00.000,2571
2022-05-06 10:15:00.000,2566
2022-05-06 10:30:00.000,2315
2022-05-06 10:45:00.000,2501
2022-05-06 11:00:00.000,2435
2022-05-06 11:15:00.000,2272
2022-05-06 11:30:00.000,2292
2022-05-06 11:45:00.000,2300
2022-05-06 12:00:00.000,2177
2022-05-06 12:15:00.000,2000
2022-05-06 12:30:00.000,1916
2022-05-06 12:45:00.000,2099
2022-05-06 13:00:00.000,2069
2022-05-06 13:15:00.000,2116
2022-05-06 13:30:00.000,2041
2022-05-06 13:45:00.000,2220
2022-05-06 14:00:00.000,2275
2022-05-06 14:15:00.000,2265
2022-05-06 14:30:00.000,2163
2022-05-06 14:45:00.000,2348
2022-05-06 15:00:00.000,2277
2022-05-06 15:15:00.000,2193
2022-05-06 15:30:00.000,2301
2022-05-06 15:45:00.000,2326
2022-05-06 16:00:00.000,2317
2022-05-06 16:15:00.000,2217
2022-05-06 16:30:00.000,2375
2022-05-06 16:45:00.000,2305
2022-05-06 17:00:00.000,2291
2022-05-06 17:15:00.000,2192
2022-05-06 17:30:00.000,2364
2022-05-06 17:45:00.000,2307
2022-05-06 18:00:00.000,2272
2022-05-06 18:15:00.000,2157
2022-05-06 18:30:00.000,2309
2022-05-06 18:45:00.000,2254
2022-05-06 19:00:00.000,2321
2022-05-06 19:15:00.000,2144
2022-05-06 19:30:00.000,2360
2022-05-06 19:45:00.000,2304
2022-05-06 20:00:00.000,2318
2022-05-06 20:15:00.000,2223
2022-05-06 20:30:00.000,2399
2022-05-06 20:45:00.000,2414
2022-05-06 21:00:00.000,2252
2022-05-06 21:15:00.000,2528
2022-05-06 21:30:00.000,2579
2022-05-06 21:45:00.000,2597
2022-05-06 22:00:00.000,2481
2022-05-06 22:15:00.000,2690
2022-05-06 22:30:00.000,2653
2022-05-06 22:45:00.000,2561
2022-05-06 23:00:00.000,2716
2022-05-06 23:15:00.000,2552
2022-05-06 23:30:00.000,2748
2022-05-06 23:45:00.000,2746
