Date,MemberRequests
2022-05-10 00:00:00.000,2535
2022-05-10 00:15:00.000,2679
2022-05-10 00:30:00.000,2662
2022-05-10 00:45:00.000,2483
2022-05-10 01:00:00.000,2591
2022-05-10 01:15:00.000,2622
2022-05-10 01:30:00.000,2664
2022-05-10 01:45:00.000,2448
2022-05-10 02:00:00.000,2332
2022-05-10 02:15:00.000,2726
2022-05-10 02:30:00.000,2701
2022-05-10 02:45:00.000,2527
2022-05-10 03:00:00.000,2685
2022-05-10 03:15:00.000,2698
2022-05-10 03:30:00.000,2504
2022-05-10 03:45:00.000,2707
2022-05-10 04:00:00.000,2811
2022-05-10 04:15:00.000,2527
2022-05-10 04:30:00.000,2688
2022-05-10 04:45:00.000,2686
2022-05-10 05:00:00.000,2691
2022-05-10 05:15:00.000,2505
2022-05-10 05:30:00.000,2702
2022-05-10 05:45:00.000,2691
2022-05-10 06:00:00.000,2504
2022-05-10 06:15:00.000,2691
2022-05-10 06:30:00.000,2687
2022-05-10 06:45:00.000,2486
2022-05-10 07:00:00.000,2688
2022-05-10 07:15:00.000,2686
2022-05-10 07:30:00.000,2489
2022-05-10 07:45:00.000,2651
2022-05-10 08:00:00.000,2632
2022-05-10 08:15:00.000,2638
2022-05-10 08:30:00.000,2496
2022-05-10 08:45:00.000,2672
2022-05-10 09:00:00.000,2642
2022-05-10 09:15:00.000,2458
2022-05-10 09:30:00.000,2660
2022-05-10 09:45:00.000,2612
2022-05-10 10:00:00.000,2339
2022-05-10 10:15:00.000,2492
2022-05-10 10:30:00.000,2473
2022-05-10 10:45:00.000,2431
2022-05-10 11:00:00.000,2187
2022-05-10 11:15:00.000,2249
2022-05-10 11:30:00.000,1899
2022-05-10 11:45:00.000,2015
2022-05-10 12:00:00.000,1948
2022-05-10 12:15:00.000,1649
2022-05-10 12:30:00.000,1850
2022-05-10 12:45:00.000,1766
2022-05-10 13:00:00.000,1923
2022-05-10 13:15:00.000,1944
2022-05-10 13:30:00.000,2081
2022-05-10 13:45:00.000,2013
2022-05-10 14:00:00.000,2058
2022-05-10 14:15:00.000,2015
2022-05-10 14:30:00.000,2123
2022-05-10 14:45:00.000,2019
2022-05-10 15:00:00.000,2125
2022-05-10 15:15:00.000,2011
2022-05-10 15:30:00.000,2112
2022-05-10 15:45:00.000,2161
2022-05-10 16:00:00.000,2106
2022-05-10 16:15:00.000,2119
2022-05-10 16:30:00.000,1986
2022-05-10 16:45:00.000,2165
2022-05-10 17:00:00.000,2089
2022-05-10 17:15:00.000,2046
2022-05-10 17:30:00.000,2000
2022-05-10 17:45:00.000,2046
2022-05-10 18:00:00.000,1871
2022-05-10 18:15:00.000,2038
2022-05-10 18:30:00.000,2102
2022-05-10 18:45:00.000,2086
2022-05-10 19:00:00.000,2129
2022-05-10 19:15:00.000,2118
2022-05-10 19:30:00.000,2058
2022-05-10 19:45:00.000,2203
2022-05-10 20:00:00.000,2224
2022-05-10 20:15:00.000,2152
2022-05-10 20:30:00.000,2258
2022-05-10 20:45:00.000,2166
2022-05-10 21:00:00.000,2327
2022-05-10 21:15:00.000,2460
2022-05-10 21:30:00.000,2560
2022-05-10 21:45:00.000,2424
2022-05-10 22:00:00.000,2640
2022-05-10 22:15:00.000,2654
2022-05-10 22:30:00.000,2504
2022-05-10 22:45:00.000,2674
2022-05-10 23:00:00.000,2678
2022-05-10 23:15:00.000,2621
2022-05-10 23:30:00.000,2539
2022-05-10 23:45:00.000,2719
