Date,Sales
2022-04-26 07:25:00.000,1
2022-04-26 08:36:00.000,2
2022-04-26 08:39:00.000,1
2022-04-26 08:54:00.000,1
2022-04-26 09:08:00.000,1
2022-04-26 09:19:00.000,1
2022-04-26 09:27:00.000,1
2022-04-26 09:42:00.000,1
2022-04-26 09:48:00.000,1
2022-04-26 09:50:00.000,1
2022-04-26 09:55:00.000,1
2022-04-26 09:56:00.000,1
2022-04-26 09:58:00.000,2
2022-04-26 10:00:00.000,3
2022-04-26 10:01:00.000,3
2022-04-26 10:02:00.000,7
2022-04-26 10:03:00.000,13
2022-04-26 10:04:00.000,7
2022-04-26 10:05:00.000,12
2022-04-26 10:06:00.000,13
2022-04-26 10:07:00.000,10
2022-04-26 10:08:00.000,6
2022-04-26 10:09:00.000,10
2022-04-26 10:10:00.000,5
2022-04-26 10:11:00.000,9
2022-04-26 10:12:00.000,6
2022-04-26 10:13:00.000,11
2022-04-26 10:14:00.000,12
2022-04-26 10:15:00.000,18
2022-04-26 10:16:00.000,8
2022-04-26 10:17:00.000,15
2022-04-26 10:18:00.000,14
2022-04-26 10:19:00.000,11
2022-04-26 10:20:00.000,14
2022-04-26 10:21:00.000,17
2022-04-26 10:22:00.000,13
2022-04-26 10:23:00.000,8
2022-04-26 10:24:00.000,9
2022-04-26 10:25:00.000,14
2022-04-26 10:26:00.000,12
2022-04-26 10:27:00.000,13
2022-04-26 10:28:00.000,16
2022-04-26 10:29:00.000,15
2022-04-26 10:30:00.000,21
2022-04-26 10:31:00.000,20
2022-04-26 10:32:00.000,30
2022-04-26 10:33:00.000,31
2022-04-26 10:34:00.000,29
2022-04-26 10:35:00.000,18
2022-04-26 10:36:00.000,27
2022-04-26 10:37:00.000,27
2022-04-26 10:38:00.000,26
2022-04-26 10:39:00.000,28
2022-04-26 10:40:00.000,33
2022-04-26 10:41:00.000,33
2022-04-26 10:42:00.000,41
2022-04-26 10:43:00.000,27
2022-04-26 10:44:00.000,27
2022-04-26 10:45:00.000,57
2022-04-26 10:46:00.000,26
2022-04-26 10:47:00.000,31
2022-04-26 10:48:00.000,33
2022-04-26 10:49:00.000,28
2022-04-26 10:50:00.000,43
2022-04-26 10:51:00.000,31
2022-04-26 10:52:00.000,43
2022-04-26 10:53:00.000,38
2022-04-26 10:54:00.000,35
2022-04-26 10:55:00.000,30
2022-04-26 10:56:00.000,32
2022-04-26 10:57:00.000,43
2022-04-26 10:58:00.000,44
2022-04-26 10:59:00.000,43
2022-04-26 11:00:00.000,65
2022-04-26 11:01:00.000,54
2022-04-26 11:02:00.000,62
2022-04-26 11:03:00.000,35
2022-04-26 11:04:00.000,58
2022-04-26 11:05:00.000,59
2022-04-26 11:06:00.000,57
2022-04-26 11:07:00.000,68
2022-04-26 11:08:00.000,59
2022-04-26 11:09:00.000,61
2022-04-26 11:10:00.000,69
2022-04-26 11:11:00.000,56
2022-04-26 11:12:00.000,69
2022-04-26 11:13:00.000,64
2022-04-26 11:14:00.000,72
2022-04-26 11:15:00.000,100
2022-04-26 11:16:00.000,63
2022-04-26 11:17:00.000,64
2022-04-26 11:18:00.000,61
2022-04-26 11:19:00.000,66
2022-04-26 11:20:00.000,71
2022-04-26 11:21:00.000,61
2022-04-26 11:22:00.000,80
2022-04-26 11:23:00.000,70
2022-04-26 11:24:00.000,77
2022-04-26 11:25:00.000,72
2022-04-26 11:26:00.000,71
2022-04-26 11:27:00.000,63
2022-04-26 11:28:00.000,74
2022-04-26 11:29:00.000,65
2022-04-26 11:30:00.000,122
2022-04-26 11:31:00.000,80
2022-04-26 11:32:00.000,89
2022-04-26 11:33:00.000,76
2022-04-26 11:34:00.000,79
2022-04-26 11:35:00.000,93
2022-04-26 11:36:00.000,94
2022-04-26 11:37:00.000,93
2022-04-26 11:38:00.000,88
2022-04-26 11:39:00.000,69
2022-04-26 11:40:00.000,89
2022-04-26 11:41:00.000,93
2022-04-26 11:42:00.000,78
2022-04-26 11:43:00.000,85
2022-04-26 11:44:00.000,102
2022-04-26 11:45:00.000,147
2022-04-26 11:46:00.000,90
2022-04-26 11:47:00.000,91
2022-04-26 11:48:00.000,95
2022-04-26 11:49:00.000,121
2022-04-26 11:50:00.000,91
2022-04-26 11:51:00.000,96
2022-04-26 11:52:00.000,97
2022-04-26 11:53:00.000,90
2022-04-26 11:54:00.000,93
2022-04-26 11:55:00.000,98
2022-04-26 11:56:00.000,89
2022-04-26 11:57:00.000,98
2022-04-26 11:58:00.000,104
2022-04-26 11:59:00.000,104
2022-04-26 12:00:00.000,218
2022-04-26 12:01:00.000,101
2022-04-26 12:02:00.000,101
